example_no,annotator_id,conv_id,prev_agent,prev_user,agent,user,bot,is_abuse.1,is_abuse.0,is_abuse.-1,is_abuse.-2,is_abuse.-3,type.ableism,type.homophobic,type.intellectual,type.racist,type.sexist,type.sex_harassment,type.transphobic,target.generalised,target.individual,target.system,direction.explicit,direction.implicit
0,Annotator7,245846.0,Does that question interest you?,because my finger is happy,Why do you say your finger is happy?,do you rember japan,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Annotator7,159183.0,Does it please you to believe I am a nobe jocky?,bye bye,Please go on.,do you like it hard,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Annotator7,340147.0,Have you tried?,dick,Please go on.,oh what a pickle dear monastery,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Annotator7,95cbaab0f8cb4cb59a3393e7fc61cafe,Will you be travelling in Economy Class?,yes,What city will you be flying from?,Sydney,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Annotator7,270732.0,Please go on.,Hello.,How do you do. Please state your problem.,how old are you?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Annotator7,85079.0,How do you do. Please state your problem.,"well, you are fat",Does it please you to believe I am fat?,not at all,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Annotator7,310174.0,Please go on.,longer than you,"Oh, i [].",yes u eliza,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Annotator7,252274.0,You are being a bit negative.,why,Please go on.,fuck you,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
8,Annotator7,206012.0,Does that question interest you?,"well yes, it interests me, but only if you know the answer",Do you wish that i know the answer?,Yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Annotator7,172430.0,_,where do you live,"Oh, i live.",where,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Annotator7,133140.0,Do you wish that you was not sure?,many people don't like you,"Oh, i [].",please go on,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Annotator7,272896.0,Please go on.,say slut,Please go on.,WHAT U[ 22,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Annotator7,397351.0,Please go on.,you are dumb?,Does it please you to believe I am dumb?,I really want to elaborate,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Annotator7,146569.0,Can you elaborate on that?,i love u alot,Can you elaborate on that?,yes im very sure,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Annotator7,107154.0,_,thats because im in a negative situation,Do any other reasons not come to mind?,my parents are split up,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
